,Cluster,Vmag,Brightness,B-V
0,m53,12.56,6.438580589481065e-07,0.85
40,m53,14.35,1.2381981077552535e-07,1.16
80,m53,14.95,7.12508641537669e-08,0.94
120,m53,15.38,4.7950168315570135e-08,0.83
160,m53,15.65,3.7392985057139944e-08,0.9
200,m53,15.83,3.168036203695864e-08,0.87
240,m53,15.98,2.7592441850817853e-08,0.84
280,m53,16.09,2.493389555720478e-08,0.8
320,m53,16.24,2.1716515186093065e-08,0.32
360,m53,16.39,1.89142940278153e-08,0.8
400,m53,16.5,1.709189184406418e-08,0.55
440,m53,16.59,1.573222452832041e-08,0.24
480,m53,16.7,1.4216416415497834e-08,0.51
520,m53,16.77,1.3328771905808164e-08,0.71
560,m53,16.82,1.2728878350817586e-08,0.75
600,m53,16.87,1.2155984453399548e-08,0.72
640,m53,16.9,1.1824700129320392e-08,0.7
680,m53,16.95,1.1292500955427677e-08,0.8
721,m53,16.98,1.0984748953890989e-08,0.75
762,m53,17.0,1.0784254690073403e-08,0.05
802,m53,17.03,1.0490353810272607e-08,0.34
842,m53,17.06,1.0204462545380816e-08,0.04
885,m53,17.09,9.926362611155201e-09,0.08
928,m53,17.12,9.655841672204678e-09,0.02
983,m53,17.18,9.136716214504506e-09,0.01
1053,m53,17.25,8.566237990783066e-09,0.71
1120,m53,17.36,7.74087645215111e-09,0.67
1186,m53,17.44,7.1910140282646945e-09,0.71
1233,m53,17.52,6.680210319120903e-09,0.68
1285,m53,17.59,6.263111393481961e-09,0.67
1330,m53,17.64,5.981224946201651e-09,0.62
1378,m53,17.72,5.556356926790978e-09,0.69
1420,m53,17.8,5.161668817940675e-09,0.72
1460,m53,17.86,4.884162850198522e-09,0.49
1501,m53,17.93,4.579205523984949e-09,0.52
1541,m53,18.0,4.29328912119341e-09,0.68
1582,m53,18.04,4.137996661815259e-09,0.71
1622,m53,18.09,3.9517561330150195e-09,0.56
1662,m53,18.15,3.739298505714002e-09,0.68
1702,m53,18.21,3.538263203546162e-09,0.63
1743,m53,18.27,3.348036129888564e-09,0.65
1783,m53,18.31,3.2269343941282716e-09,0.64
1823,m53,18.35,3.1102130263912544e-09,0.67
1863,m53,18.41,2.9429991453353726e-09,0.6
1903,m53,18.44,2.8627942482029616e-09,0.62
1943,m53,18.49,2.7339472823386476e-09,0.63
1983,m53,18.53,2.6350577397758606e-09,0.61
2023,m53,18.58,2.516460605224357e-09,0.63
2063,m53,18.62,2.425437768121573e-09,0.52
2103,m53,18.65,2.3593378553840607e-09,0.63
2143,m53,18.69,2.2739983015538874e-09,0.64
2183,m53,18.72,2.2120255347100843e-09,0.61
2223,m53,18.76,2.132014411350903e-09,0.15
2263,m53,18.79,2.073911099694078e-09,0.15
2303,m53,18.83,1.998895710301058e-09,0.65
2343,m53,18.87,1.9265937007856078e-09,0.47
2383,m53,18.9,1.874088673785395e-09,0.5
2423,m53,18.93,1.8230145545365952e-09,0.62
2463,m53,18.96,1.7733323468304718e-09,0.6
2503,m53,18.99,1.7250041172132334e-09,0.5
2543,m53,19.01,1.6935192437750926e-09,0.62
2583,m53,19.04,1.6473661427950917e-09,0.6
2623,m53,19.06,1.617298322089847e-09,0.62
2663,m53,19.09,1.573222452832041e-09,0.44
2703,m53,19.12,1.5303477733759536e-09,0.49
2743,m53,19.14,1.5024157786170558e-09,0.61
2783,m53,19.17,1.461470777608447e-09,0.59
2823,m53,19.18,1.4480719329817244e-09,0.82
2863,m53,19.2,1.4216416415497834e-09,0.33
2903,m53,19.23,1.3828979600232778e-09,0.65
2943,m53,19.25,1.3576572276593855e-09,0.47
2983,m53,19.27,1.3328771905808164e-09,0.58
3023,m53,19.29,1.3085494401509722e-09,0.39
3063,m53,19.31,1.284665721208169e-09,0.47
3103,m53,19.34,1.2496550137866777e-09,0.62
3143,m53,19.36,1.2268462392696836e-09,0.52
3183,m53,19.38,1.2044537718048156e-09,0.39
3224,m53,19.4,1.1824700129320393e-09,0.6
3264,m53,19.41,1.1716290626908274e-09,0.29
3304,m53,19.43,1.150244422279152e-09,0.47
3344,m53,19.45,1.1292500955427677e-09,0.52
3384,m53,19.47,1.108638958454233e-09,0.55
3424,m53,19.48,1.0984748953890988e-09,0.39
3464,m53,19.5,1.0784254690073403e-09,0.32
3504,m53,19.51,1.068538404878437e-09,0.56
3544,m53,19.52,1.0587419858983205e-09,0.31
3584,m53,19.54,1.0394177668445693e-09,0.55
3624,m53,19.55,1.0298883274787008e-09,0.34
3664,m53,19.56,1.0204462545380818e-09,0.25
3704,m53,19.57,1.0110907470425066e-09,0.52
3744,m53,19.58,1.001821011355209e-09,0.76
3784,m53,19.6,9.83535717172175e-10,0.44
3824,m53,19.61,9.745186075172102e-10,0.52
3864,m53,19.62,9.655841672204679e-10,0.57
3904,m53,19.63,9.567316383647205e-10,0.48
3944,m53,19.64,9.47960269981359e-10,0.52
3984,m53,19.65,9.39269317986706e-10,0.54
4024,m53,19.66,9.306580451188682e-10,0.2
4064,m53,19.67,9.221257208752283e-10,0.52
4104,m53,19.68,9.136716214504505e-10,0.51
4144,m53,19.69,9.052950296750757e-10,0.49
4184,m53,19.7,8.969952349547137e-10,0.36
4224,m53,19.71,8.887715332097231e-10,0.47
4264,m53,19.72,8.806232268155178e-10,0.43
4304,m53,19.73,8.725496245433634e-10,0.47
4344,m53,19.74,8.645500415017558e-10,0.4
4384,m53,19.75,8.566237990783067e-10,0.47
4424,m53,19.76,8.487702248821891e-10,0.44
4464,m53,19.76,8.487702248821891e-10,0.47
4504,m53,19.77,8.409886526870919e-10,0.47
4544,m53,19.78,8.332784223746987e-10,0.45
4585,m53,19.79,8.256388798787006e-10,0.47
4625,m53,19.8,8.180693771292983e-10,0.89
4665,m53,19.81,8.105692719982399e-10,0.38
4705,m53,19.82,8.031379282443283e-10,0.45
4745,m53,19.83,7.957747154594783e-10,0.37
4785,m53,19.84,7.884790090152028e-10,0.44
4825,m53,19.84,7.884790090152028e-10,0.49
4865,m53,19.85,7.81250190009653e-10,0.49
4905,m53,19.86,7.74087645215111e-10,0.45
4945,m53,19.87,7.669907670259504e-10,0.37
4985,m53,19.88,7.599589534071187e-10,0.41
5025,m53,19.89,7.529916078430468e-10,0.46
5065,m53,19.89,7.529916078430468e-10,0.36
5105,m53,19.9,7.46088139287059e-10,0.47
5145,m53,19.91,7.392479621112219e-10,0.48
5185,m53,19.91,7.392479621112219e-10,0.49
5225,m53,19.92,7.324704960566763e-10,0.41
5265,m53,19.93,7.257551661844075e-10,0.44
5305,m53,19.94,7.191014028264695e-10,0.47
5345,m53,19.95,7.12508641537669e-10,0.5
5385,m53,19.95,7.12508641537669e-10,0.41
5425,m53,19.96,7.059763230476716e-10,0.39
5465,m53,19.97,6.995038932135713e-10,0.43
5505,m53,19.98,6.930908029728635e-10,0.46
5545,m53,19.99,6.867365082968945e-10,0.44
5585,m53,20.0,6.804404701446795e-10,0.42
5625,m53,20.0,6.804404701446795e-10,0.38
5665,m53,20.01,6.742021544171999e-10,0.41
5705,m53,20.01,6.742021544171999e-10,0.4
5745,m53,20.02,6.680210319120902e-10,0.4
5785,m53,20.03,6.618965782787292e-10,0.43
5825,m53,20.04,6.558282739737819e-10,0.43
5865,m53,20.04,6.558282739737819e-10,0.39
5905,m53,20.05,6.498156042171085e-10,0.48
5945,m53,20.06,6.438580589481071e-10,0.42
5985,m53,20.06,6.438580589481071e-10,0.41
6025,m53,20.07,6.379551327824345e-10,0.4
6065,m53,20.08,6.321063249691441e-10,0.41
6105,m53,20.09,6.26311139348196e-10,0.38
6145,m53,20.09,6.26311139348196e-10,0.42
6185,m53,20.1,6.205690843083777e-10,0.39
6225,m53,20.11,6.148796727455944e-10,0.39
6265,m53,20.12,6.092424220215451e-10,0.4
6305,m53,20.12,6.092424220215451e-10,0.41
6345,m53,20.13,6.036568539227896e-10,0.38
6385,m53,20.13,6.036568539227896e-10,0.43
6425,m53,20.14,5.981224946201651e-10,0.42
6465,m53,20.15,5.926388746286139e-10,0.65
6505,m53,20.15,5.926388746286139e-10,0.41
6545,m53,20.16,5.8720552876733e-10,0.43
6585,m53,20.17,5.818219961203178e-10,0.37
6625,m53,20.17,5.818219961203178e-10,0.38
6665,m53,20.18,5.764878199972884e-10,0.41
6705,m53,20.19,5.712025478949044e-10,0.42
6745,m53,20.2,5.65965731458413e-10,0.41
6785,m53,20.2,5.65965731458413e-10,0.4
6825,m53,20.21,5.607769264435966e-10,0.37
6865,m53,20.22,5.556356926790978e-10,0.41
6905,m53,20.22,5.556356926790978e-10,0.43
6945,m53,20.23,5.5054159402907e-10,0.41
6985,m53,20.24,5.454941983561885e-10,0.38
7025,m53,20.24,5.454941983561885e-10,0.41
7065,m53,20.25,5.404930774849828e-10,0.44
7105,m53,20.25,5.404930774849828e-10,0.37
7145,m53,20.26,5.355378071655223e-10,0.42
7185,m53,20.27,5.306279670374229e-10,0.42
7225,m53,20.27,5.306279670374229e-10,0.37
7265,m53,20.28,5.257631405941845e-10,0.45
7305,m53,20.28,5.257631405941845e-10,0.44
7345,m53,20.29,5.20942915147867e-10,0.42
7385,m53,20.3,5.161668817940675e-10,0.37
7425,m53,20.3,5.161668817940675e-10,0.47
7465,m53,20.31,5.114346353772527e-10,0.43
7505,m53,20.31,5.114346353772527e-10,0.34
7545,m53,20.32,5.067457744563663e-10,0.38
7585,m53,20.33,5.020999012707936e-10,0.44
7625,m53,20.33,5.020999012707936e-10,0.42
7665,m53,20.34,4.974966217066065e-10,0.34
7705,m53,20.34,4.974966217066065e-10,0.37
7745,m53,20.35,4.929355452631379e-10,0.42
7785,m53,20.35,4.929355452631379e-10,0.36
7825,m53,20.36,4.884162850198523e-10,0.5
7865,m53,20.37,4.8393845760352e-10,0.41
7905,m53,20.37,4.8393845760352e-10,0.44
7945,m53,20.38,4.795016831557023e-10,0.58
7985,m53,20.39,4.751055853005197e-10,0.36
8025,m53,20.39,4.751055853005197e-10,0.38
8066,m53,20.4,4.707497911127311e-10,0.41
8106,m53,20.41,4.664339310860909e-10,0.42
8146,m53,20.41,4.664339310860909e-10,0.43
8186,m53,20.42,4.621576391020101e-10,0.42
8226,m53,20.42,4.621576391020101e-10,0.41
